COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
10000001,38,01/01/2022 01:00,45,S
10000001,38,01/01/2022 02:00,49,S
10000001,38,01/01/2022 03:00,60,S
10000001,38,01/01/2022 04:00,71,S
10000001,38,01/01/2022 05:00,75,S
10000001,38,01/01/2022 06:00,66,S
10000001,38,01/01/2022 07:00,75,S
10000001,38,01/01/2022 08:00,89,S
10000001,38,01/01/2022 09:00,100,S
10000001,38,01/01/2022 10:00,68,S
10000001,38,01/01/2022 11:00,43,S
10000001,38,01/01/2022 12:00,34,S
10000001,38,01/01/2022 13:00,34,S
10000001,38,01/01/2022 14:00,25,S
10000001,38,01/01/2022 15:00,26,S
10000001,38,01/01/2022 16:00,29,S
10000001,38,01/01/2022 17:00,20,S
10000001,38,01/01/2022 18:00,36,S
10000001,38,01/01/2022 19:00,36,S
10000001,38,01/01/2022 20:00,37,S
10000001,38,01/01/2022 21:00,37,S
10000001,38,01/01/2022 22:00,25,S
10000001,38,01/01/2022 23:00,25,S
10000001,38,02/01/2022 00:00,27,S
10000001,38,02/01/2022 01:00,19,S
10000001,38,02/01/2022 02:00,23,S
10000001,38,02/01/2022 03:00,21,S
10000001,38,02/01/2022 04:00,16,S
10000001,38,02/01/2022 05:00,17,S
10000001,38,02/01/2022 06:00,18,S
10000001,38,02/01/2022 07:00,23,S
10000001,38,02/01/2022 08:00,44,S
10000001,38,02/01/2022 09:00,53,S
10000001,38,02/01/2022 10:00,66,S
10000001,38,02/01/2022 11:00,68,S
10000001,38,02/01/2022 12:00,48,S
10000001,38,02/01/2022 13:00,45,S
10000001,38,02/01/2022 14:00,38,S
10000001,38,02/01/2022 15:00,44,S
10000001,38,02/01/2022 16:00,53,S
10000001,38,02/01/2022 17:00,41,S
10000001,38,02/01/2022 18:00,42,S
10000001,38,02/01/2022 19:00,34,S
10000001,38,02/01/2022 20:00,65,S
10000001,38,02/01/2022 21:00,61,S
10000001,38,02/01/2022 22:00,56,S
10000001,38,02/01/2022 23:00,63,S
10000001,38,03/01/2022 00:00,76,S
10000001,38,03/01/2022 01:00,50,S
10000001,38,03/01/2022 02:00,29,S
10000001,38,03/01/2022 03:00,19,S
10000001,38,03/01/2022 04:00,8,S
10000001,38,03/01/2022 05:00,6,S
10000001,38,03/01/2022 06:00,6,S
10000001,38,03/01/2022 07:00,24,S
10000001,38,03/01/2022 08:00,31,S
10000001,38,03/01/2022 09:00,40,S
10000001,38,03/01/2022 10:00,47,S
10000001,38,03/01/2022 11:00,39,S
10000001,38,03/01/2022 12:00,48,S
10000001,38,03/01/2022 13:00,48,S
10000001,38,03/01/2022 14:00,39,S
10000001,38,03/01/2022 15:00,46,S
10000001,38,03/01/2022 16:00,49,S
10000001,38,03/01/2022 17:00,57,S
10000001,38,03/01/2022 18:00,36,S
10000001,38,03/01/2022 19:00,55,S
10000001,38,03/01/2022 20:00,46,S
10000001,38,03/01/2022 21:00,40,S
10000001,38,03/01/2022 22:00,42,S
10000001,38,03/01/2022 23:00,29,S
10000001,38,04/01/2022 00:00,27,S
10000001,38,04/01/2022 01:00,27,S
10000001,38,04/01/2022 02:00,26,S
10000001,38,04/01/2022 03:00,24,S
10000001,38,04/01/2022 04:00,23,S
10000001,38,04/01/2022 05:00,22,S
10000001,38,04/01/2022 06:00,26,S
10000001,38,04/01/2022 07:00,43,S
10000001,38,04/01/2022 08:00,57,S
10000001,38,04/01/2022 09:00,80,S
10000001,38,04/01/2022 10:00,92,S
10000001,38,04/01/2022 11:00,115,S
10000001,38,04/01/2022 12:00,128,S
10000001,38,04/01/2022 13:00,85,S
10000001,38,04/01/2022 14:00,59,S
10000001,38,04/01/2022 15:00,47,S
10000001,38,04/01/2022 16:00,73,S
10000001,38,04/01/2022 17:00,126,S
10000001,38,04/01/2022 18:00,54,S
10000001,38,04/01/2022 19:00,16,S
10000001,38,04/01/2022 20:00,12,S
10000001,38,04/01/2022 21:00,10,S
10000001,38,04/01/2022 22:00,9,S
10000001,38,04/01/2022 23:00,7,S
10000001,38,05/01/2022 00:00,6,S
10000001,38,05/01/2022 01:00,3,S
10000001,38,05/01/2022 02:00,3,S
10000001,38,05/01/2022 03:00,2,S
10000001,38,05/01/2022 04:00,2,S
10000001,38,05/01/2022 05:00,2,S
10000001,38,05/01/2022 06:00,3,S
10000001,38,05/01/2022 07:00,3,S
10000001,38,05/01/2022 08:00,2,S
10000001,38,05/01/2022 09:00,3,S
10000001,38,05/01/2022 10:00,5,S
10000001,38,05/01/2022 11:00,8,S
10000001,38,05/01/2022 12:00,18,S
10000001,38,05/01/2022 13:00,23,S
10000001,38,05/01/2022 14:00,20,S
10000001,38,05/01/2022 15:00,12,S
10000001,38,05/01/2022 16:00,5,S
10000001,38,05/01/2022 17:00,7,S
10000001,38,05/01/2022 18:00,27,S
