COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
5000065,9,01/01/2022 01:00,53,S
5000065,9,01/01/2022 02:00,48,S
5000065,9,01/01/2022 03:00,46,S
5000065,9,01/01/2022 04:00,49,S
5000065,9,01/01/2022 05:00,55,S
5000065,9,01/01/2022 06:00,54,S
5000065,9,01/01/2022 07:00,54,S
5000065,9,01/01/2022 08:00,59,S
5000065,9,01/01/2022 09:00,65,S
5000065,9,01/01/2022 10:00,77,S
5000065,9,01/01/2022 11:00,73,S
5000065,9,01/01/2022 12:00,54,S
5000065,9,01/01/2022 13:00,79,S
5000065,9,01/01/2022 14:00,70,S
5000065,9,01/01/2022 15:00,59,S
5000065,9,01/01/2022 16:00,54,S
5000065,9,01/01/2022 17:00,44,S
5000065,9,01/01/2022 18:00,40,S
5000065,9,01/01/2022 19:00,36,S
5000065,9,01/01/2022 20:00,36,S
5000065,9,01/01/2022 21:00,34,S
5000065,9,01/01/2022 22:00,42,S
5000065,9,01/01/2022 23:00,55,S
5000065,9,02/01/2022 00:00,57,S
5000065,9,02/01/2022 01:00,60,S
5000065,9,02/01/2022 02:00,63,S
5000065,9,02/01/2022 03:00,47,S
5000065,9,02/01/2022 04:00,51,S
5000065,9,02/01/2022 05:00,40,S
5000065,9,02/01/2022 06:00,38,S
5000065,9,02/01/2022 07:00,36,S
5000065,9,02/01/2022 08:00,33,S
5000065,9,02/01/2022 09:00,35,S
5000065,9,02/01/2022 10:00,33,S
5000065,9,02/01/2022 11:00,34,S
5000065,9,02/01/2022 12:00,34,S
5000065,9,02/01/2022 13:00,30,S
5000065,9,02/01/2022 14:00,31,S
5000065,9,02/01/2022 15:00,33,S
5000065,9,02/01/2022 16:00,30,S
5000065,9,02/01/2022 17:00,36,S
5000065,9,02/01/2022 18:00,37,S
5000065,9,02/01/2022 19:00,41,S
5000065,9,02/01/2022 20:00,47,S
5000065,9,02/01/2022 21:00,54,S
5000065,9,02/01/2022 22:00,66,S
5000065,9,02/01/2022 23:00,68,S
5000065,9,03/01/2022 00:00,73,S
5000065,9,03/01/2022 01:00,45,S
5000065,9,03/01/2022 02:00,89,S
5000065,9,03/01/2022 03:00,72,S
5000065,9,03/01/2022 04:00,55,S
5000065,9,03/01/2022 05:00,49,S
5000065,9,03/01/2022 06:00,37,S
5000065,9,03/01/2022 07:00,45,S
5000065,9,03/01/2022 08:00,51,S
5000065,9,03/01/2022 09:00,49,S
5000065,9,03/01/2022 10:00,50,S
5000065,9,03/01/2022 11:00,54,S
5000065,9,03/01/2022 12:00,61,S
5000065,9,03/01/2022 13:00,54,S
5000065,9,03/01/2022 14:00,50,S
5000065,9,03/01/2022 15:00,43,S
5000065,9,03/01/2022 16:00,54,S
5000065,9,03/01/2022 17:00,51,S
5000065,9,03/01/2022 18:00,54,S
5000065,9,03/01/2022 19:00,75,S
5000065,9,03/01/2022 20:00,62,S
5000065,9,03/01/2022 21:00,46,S
5000065,9,03/01/2022 22:00,55,S
5000065,9,03/01/2022 23:00,49,S
5000065,9,04/01/2022 00:00,42,S
5000065,9,04/01/2022 01:00,45,S
5000065,9,04/01/2022 02:00,47,S
5000065,9,04/01/2022 03:00,44,S
5000065,9,04/01/2022 04:00,45,S
5000065,9,04/01/2022 05:00,45,S
5000065,9,04/01/2022 06:00,52,S
5000065,9,04/01/2022 07:00,51,S
5000065,9,04/01/2022 08:00,66,S
5000065,9,04/01/2022 09:00,66,S
5000065,9,04/01/2022 10:00,63,S
5000065,9,04/01/2022 11:00,60,S
5000065,9,04/01/2022 12:00,58,S
5000065,9,04/01/2022 13:00,51,S
5000065,9,04/01/2022 14:00,52,S
5000065,9,04/01/2022 15:00,64,S
5000065,9,04/01/2022 16:00,52,S
5000065,9,04/01/2022 17:00,49,S
5000065,9,04/01/2022 18:00,61,S
5000065,9,04/01/2022 19:00,99,S
5000065,9,04/01/2022 20:00,105,S
5000065,9,04/01/2022 21:00,95,S
5000065,9,04/01/2022 22:00,99,S
5000065,9,04/01/2022 23:00,86,S
5000065,9,05/01/2022 00:00,89,S
5000065,9,05/01/2022 01:00,71,S
5000065,9,05/01/2022 02:00,41,S
5000065,9,05/01/2022 03:00,31,S
5000065,9,05/01/2022 04:00,36,S
5000065,9,05/01/2022 05:00,37,S
5000065,9,05/01/2022 06:00,37,S
5000065,9,05/01/2022 07:00,50,S
5000065,9,05/01/2022 08:00,50,S
5000065,9,05/01/2022 09:00,52,S
5000065,9,05/01/2022 10:00,45,S
5000065,9,05/01/2022 11:00,52,S
5000065,9,05/01/2022 12:00,75,S
5000065,9,05/01/2022 13:00,71,S
5000065,9,05/01/2022 14:00,76,S
5000065,9,05/01/2022 15:00,76,S
5000065,9,05/01/2022 16:00,77,S
5000065,9,05/01/2022 17:00,81,S
5000065,9,05/01/2022 18:00,106,S
5000065,9,05/01/2022 19:00,100,S
5000065,9,05/01/2022 20:00,93,S
5000065,9,05/01/2022 21:00,86,S
5000065,9,05/01/2022 22:00,81,S
5000065,9,05/01/2022 23:00,72,S
5000065,9,06/01/2022 00:00,63,S
5000065,9,06/01/2022 01:00,44,S
5000065,9,06/01/2022 02:00,35,S
5000065,9,06/01/2022 03:00,7,S
5000065,9,06/01/2022 04:00,4,S
5000065,9,06/01/2022 05:00,2,S
5000065,9,06/01/2022 06:00,4,S
5000065,9,06/01/2022 07:00,14,S
5000065,9,06/01/2022 08:00,14,S
5000065,9,06/01/2022 09:00,15,S
5000065,9,06/01/2022 10:00,14,S
5000065,9,06/01/2022 11:00,22,S
5000065,9,06/01/2022 12:00,16,S
5000065,9,06/01/2022 13:00,9,S
5000065,9,06/01/2022 14:00,9,S
5000065,9,06/01/2022 15:00,11,S
5000065,9,06/01/2022 16:00,9,S
5000065,9,06/01/2022 17:00,13,S
5000065,9,06/01/2022 18:00,28,S
5000065,9,06/01/2022 19:00,77,S
5000065,9,06/01/2022 20:00,108,S
5000065,9,06/01/2022 21:00,109,S
5000065,9,06/01/2022 22:00,39,S
5000065,9,06/01/2022 23:00,29,S
