COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
4000012,38,01/01/2022 01:00,18,S
4000012,38,01/01/2022 02:00,20,S
4000012,38,01/01/2022 03:00,16,S
4000012,38,01/01/2022 04:00,17,S
4000012,38,01/01/2022 05:00,20,S
4000012,38,01/01/2022 06:00,20,S
4000012,38,01/01/2022 07:00,22,S
4000012,38,01/01/2022 08:00,22,S
4000012,38,01/01/2022 09:00,20,S
4000012,38,01/01/2022 10:00,18,S
4000012,38,01/01/2022 11:00,17,S
4000012,38,01/01/2022 12:00,17,S
4000012,38,01/01/2022 13:00,16,S
4000012,38,01/01/2022 14:00,16,S
4000012,38,01/01/2022 15:00,15,S
4000012,38,01/01/2022 16:00,18,S
4000012,38,01/01/2022 17:00,17,S
4000012,38,01/01/2022 18:00,11,S
4000012,38,01/01/2022 19:00,8,S
4000012,38,01/01/2022 20:00,6,S
4000012,38,01/01/2022 21:00,9,S
4000012,38,01/01/2022 22:00,7,S
4000012,38,01/01/2022 23:00,6,S
4000012,38,02/01/2022 00:00,5,S
4000012,38,02/01/2022 01:00,4,S
4000012,38,02/01/2022 02:00,6,S
4000012,38,02/01/2022 03:00,6,S
4000012,38,02/01/2022 04:00,8,S
4000012,38,02/01/2022 05:00,8,S
4000012,38,02/01/2022 06:00,8,S
4000012,38,02/01/2022 07:00,11,S
4000012,38,02/01/2022 08:00,17,S
4000012,38,02/01/2022 09:00,21,S
4000012,38,02/01/2022 10:00,20,S
4000012,38,02/01/2022 11:00,16,S
4000012,38,02/01/2022 12:00,13,S
4000012,38,02/01/2022 13:00,7,S
4000012,38,02/01/2022 14:00,4,S
4000012,38,02/01/2022 15:00,4,S
4000012,38,02/01/2022 16:00,6,S
4000012,38,02/01/2022 17:00,6,S
4000012,38,02/01/2022 18:00,7,S
4000012,38,02/01/2022 19:00,28,S
4000012,38,02/01/2022 20:00,23,S
4000012,38,02/01/2022 21:00,22,S
4000012,38,02/01/2022 22:00,13,S
4000012,38,02/01/2022 23:00,8,S
4000012,38,03/01/2022 00:00,6,S
4000012,38,03/01/2022 01:00,4,S
4000012,38,03/01/2022 02:00,3,S
4000012,38,03/01/2022 03:00,3,S
4000012,38,03/01/2022 04:00,3,S
4000012,38,03/01/2022 05:00,4,S
4000012,38,03/01/2022 06:00,9,S
4000012,38,03/01/2022 07:00,8,S
4000012,38,03/01/2022 08:00,12,S
4000012,38,03/01/2022 09:00,14,S
4000012,38,03/01/2022 10:00,14,S
4000012,38,03/01/2022 11:00,16,S
4000012,38,03/01/2022 12:00,22,S
4000012,38,03/01/2022 13:00,22,S
4000012,38,03/01/2022 14:00,13,S
4000012,38,03/01/2022 15:00,10,S
4000012,38,03/01/2022 16:00,11,S
4000012,38,03/01/2022 17:00,13,S
4000012,38,03/01/2022 18:00,15,S
4000012,38,03/01/2022 19:00,14,S
4000012,38,03/01/2022 20:00,12,S
4000012,38,03/01/2022 21:00,10,S
4000012,38,03/01/2022 22:00,9,S
4000012,38,03/01/2022 23:00,9,S
4000012,38,04/01/2022 00:00,8,S
4000012,38,04/01/2022 01:00,10,S
4000012,38,04/01/2022 02:00,14,S
4000012,38,04/01/2022 03:00,14,S
4000012,38,04/01/2022 04:00,18,S
4000012,38,04/01/2022 05:00,19,S
4000012,38,04/01/2022 06:00,19,S
4000012,38,04/01/2022 07:00,24,S
4000012,38,04/01/2022 08:00,33,S
4000012,38,04/01/2022 09:00,43,S
4000012,38,04/01/2022 10:00,44,S
4000012,38,04/01/2022 11:00,43,S
4000012,38,04/01/2022 12:00,41,S
4000012,38,04/01/2022 13:00,34,S
4000012,38,04/01/2022 14:00,29,S
4000012,38,04/01/2022 15:00,18,S
4000012,38,04/01/2022 16:00,12,S
4000012,38,04/01/2022 17:00,14,S
4000012,38,04/01/2022 18:00,17,S
4000012,38,04/01/2022 19:00,15,S
4000012,38,04/01/2022 20:00,14,S
4000012,38,04/01/2022 21:00,13,S
4000012,38,04/01/2022 22:00,7,S
4000012,38,04/01/2022 23:00,6,S
4000012,38,05/01/2022 00:00,7,S
4000012,38,05/01/2022 01:00,5,S
4000012,38,05/01/2022 02:00,5,S
4000012,38,05/01/2022 03:00,5,S
4000012,38,05/01/2022 04:00,4,S
4000012,38,05/01/2022 05:00,4,S
4000012,38,05/01/2022 06:00,4,S
4000012,38,05/01/2022 07:00,6,S
4000012,38,05/01/2022 08:00,10,S
4000012,38,05/01/2022 09:00,13,S
4000012,38,05/01/2022 10:00,11,S
4000012,38,05/01/2022 11:00,13,S
4000012,38,05/01/2022 12:00,15,S
4000012,38,05/01/2022 13:00,16,S
4000012,38,05/01/2022 14:00,17,S
4000012,38,05/01/2022 15:00,20,S
4000012,38,05/01/2022 16:00,24,S
4000012,38,05/01/2022 17:00,25,S
4000012,38,05/01/2022 18:00,26,S
4000012,38,05/01/2022 19:00,27,S
4000012,38,05/01/2022 20:00,16,S
4000012,38,05/01/2022 21:00,7,S
4000012,38,05/01/2022 22:00,3,S
4000012,38,05/01/2022 23:00,2,S
4000012,38,06/01/2022 00:00,2,S
4000012,38,06/01/2022 01:00,2,S
4000012,38,06/01/2022 02:00,2,S
4000012,38,06/01/2022 03:00,2,S
4000012,38,06/01/2022 04:00,2,S
4000012,38,06/01/2022 05:00,2,S
4000012,38,06/01/2022 06:00,2,S
4000012,38,06/01/2022 07:00,2,S
4000012,38,06/01/2022 08:00,2,S
4000012,38,06/01/2022 09:00,3,S
4000012,38,06/01/2022 10:00,2,S
4000012,38,06/01/2022 11:00,2,S
4000012,38,06/01/2022 12:00,3,S
4000012,38,06/01/2022 13:00,3,S
4000012,38,06/01/2022 14:00,2,S
4000012,38,06/01/2022 15:00,2,S
4000012,38,06/01/2022 16:00,2,S
4000012,38,06/01/2022 17:00,5,S
4000012,38,06/01/2022 18:00,24,S
4000012,38,06/01/2022 19:00,46,S
4000012,38,06/01/2022 20:00,44,S
4000012,38,06/01/2022 21:00,35,S
4000012,38,06/01/2022 22:00,27,S
4000012,38,06/01/2022 23:00,16,S
4000012,38,07/01/2022 00:00,7,S
4000012,38,07/01/2022 01:00,7,S
4000012,38,07/01/2022 02:00,11,S
4000012,38,07/01/2022 03:00,8,S
4000012,38,07/01/2022 04:00,6,S
4000012,38,07/01/2022 05:00,10,S
4000012,38,07/01/2022 06:00,10,S
4000012,38,07/01/2022 07:00,19,S
4000012,38,07/01/2022 08:00,33,S
4000012,38,07/01/2022 09:00,47,S
4000012,38,07/01/2022 10:00,50,S
4000012,38,07/01/2022 11:00,25,S
4000012,38,07/01/2022 12:00,10,S
4000012,38,07/01/2022 13:00,6,S
4000012,38,07/01/2022 14:00,5,S
4000012,38,07/01/2022 15:00,3,S
4000012,38,07/01/2022 16:00,5,S
4000012,38,07/01/2022 17:00,12,S
4000012,38,07/01/2022 18:00,43,S
4000012,38,07/01/2022 19:00,72,S
4000012,38,07/01/2022 20:00,145,S
4000012,38,07/01/2022 21:00,145,S
4000012,38,07/01/2022 22:00,120,S
4000012,38,07/01/2022 23:00,136,S
4000012,38,08/01/2022 00:00,99,S
4000012,38,08/01/2022 01:00,46,S
4000012,38,08/01/2022 02:00,30,S
4000012,38,08/01/2022 03:00,21,S
4000012,38,08/01/2022 04:00,18,S
4000012,38,08/01/2022 05:00,16,S
4000012,38,08/01/2022 06:00,19,S
4000012,38,08/01/2022 07:00,30,S
4000012,38,08/01/2022 08:00,45,S
4000012,38,08/01/2022 09:00,60,S
4000012,38,08/01/2022 10:00,43,S
4000012,38,08/01/2022 11:00,18,S
4000012,38,08/01/2022 12:00,10,S
4000012,38,08/01/2022 13:00,9,S
4000012,38,08/01/2022 14:00,7,S
4000012,38,08/01/2022 15:00,6,S
4000012,38,08/01/2022 16:00,5,S
4000012,38,08/01/2022 17:00,4,S
4000012,38,08/01/2022 18:00,56,S
4000012,38,08/01/2022 19:00,70,S
4000012,38,08/01/2022 20:00,82,S
4000012,38,08/01/2022 21:00,104,S
4000012,38,08/01/2022 22:00,87,S
4000012,38,08/01/2022 23:00,51,S
4000012,38,09/01/2022 00:00,49,S
4000012,38,09/01/2022 01:00,32,S
4000012,38,09/01/2022 02:00,20,S
4000012,38,09/01/2022 03:00,18,S
4000012,38,09/01/2022 04:00,22,S
4000012,38,09/01/2022 05:00,23,S
4000012,38,09/01/2022 06:00,21,S
4000012,38,09/01/2022 07:00,16,S
4000012,38,09/01/2022 08:00,15,S
4000012,38,09/01/2022 09:00,14,S
4000012,38,09/01/2022 10:00,12,S
4000012,38,09/01/2022 11:00,13,S
4000012,38,09/01/2022 12:00,11,S
4000012,38,09/01/2022 13:00,10,S
4000012,38,09/01/2022 14:00,10,S
4000012,38,09/01/2022 15:00,10,S
4000012,38,09/01/2022 16:00,11,S
4000012,38,09/01/2022 17:00,11,S
4000012,38,09/01/2022 18:00,17,S
4000012,38,09/01/2022 19:00,29,S
4000012,38,09/01/2022 20:00,23,S
4000012,38,09/01/2022 21:00,27,S
4000012,38,09/01/2022 22:00,27,S
4000012,38,09/01/2022 23:00,19,S
4000012,38,10/01/2022 00:00,30,S
4000012,38,10/01/2022 01:00,32,S
4000012,38,10/01/2022 02:00,29,S
4000012,38,10/01/2022 03:00,14,S
4000012,38,10/01/2022 04:00,15,S
4000012,38,10/01/2022 05:00,19,S
4000012,38,10/01/2022 06:00,15,S
4000012,38,10/01/2022 07:00,20,S
4000012,38,10/01/2022 08:00,24,S
4000012,38,10/01/2022 09:00,24,S
4000012,38,10/01/2022 10:00,21,S
4000012,38,10/01/2022 11:00,16,S
4000012,38,10/01/2022 12:00,18,S
4000012,38,10/01/2022 13:00,16,S
4000012,38,10/01/2022 14:00,16,S
4000012,38,10/01/2022 15:00,15,S
4000012,38,10/01/2022 16:00,21,S
4000012,38,10/01/2022 17:00,29,S
4000012,38,10/01/2022 18:00,29,S
4000012,38,10/01/2022 19:00,31,S
4000012,38,10/01/2022 20:00,28,S
4000012,38,10/01/2022 21:00,22,S
4000012,38,10/01/2022 22:00,26,S
4000012,38,10/01/2022 23:00,26,S
4000012,38,11/01/2022 00:00,21,S
4000012,38,11/01/2022 01:00,26,S
4000012,38,11/01/2022 02:00,24,S
4000012,38,11/01/2022 03:00,16,S
4000012,38,11/01/2022 04:00,17,S
4000012,38,11/01/2022 05:00,20,S
4000012,38,11/01/2022 06:00,23,S
4000012,38,11/01/2022 07:00,31,S
4000012,38,11/01/2022 08:00,44,S
4000012,38,11/01/2022 09:00,53,S
4000012,38,11/01/2022 10:00,37,S
4000012,38,11/01/2022 11:00,26,S
4000012,38,11/01/2022 12:00,21,S
4000012,38,11/01/2022 13:00,22,S
4000012,38,11/01/2022 14:00,22,S
4000012,38,11/01/2022 15:00,15,S
4000012,38,11/01/2022 16:00,9,S
4000012,38,11/01/2022 17:00,37,S
4000012,38,11/01/2022 18:00,96,S
4000012,38,11/01/2022 19:00,158,S
4000012,38,11/01/2022 20:00,146,S
