COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
3000007,9,01/01/2022 01:00,80,S
3000007,9,01/01/2022 02:00,71,S
3000007,9,01/01/2022 03:00,78,S
3000007,9,01/01/2022 04:00,90,S
3000007,9,01/01/2022 05:00,102,S
3000007,9,01/01/2022 06:00,86,S
3000007,9,01/01/2022 07:00,97,S
3000007,9,01/01/2022 08:00,93,S
3000007,9,01/01/2022 09:00,82,S
3000007,9,01/01/2022 10:00,67,S
3000007,9,01/01/2022 11:00,42,S
3000007,9,01/01/2022 12:00,46,S
3000007,9,01/01/2022 13:00,57,S
3000007,9,01/01/2022 14:00,45,S
3000007,9,01/01/2022 15:00,37,S
3000007,9,01/01/2022 16:00,33,S
3000007,9,01/01/2022 17:00,34,S
3000007,9,01/01/2022 18:00,38,S
3000007,9,01/01/2022 19:00,58,S
3000007,9,01/01/2022 20:00,66,S
3000007,9,01/01/2022 21:00,64,S
3000007,9,01/01/2022 22:00,74,S
3000007,9,01/01/2022 23:00,74,S
3000007,9,02/01/2022 00:00,68,S
3000007,9,02/01/2022 01:00,69,S
3000007,9,02/01/2022 02:00,64,S
3000007,9,02/01/2022 03:00,66,S
3000007,9,02/01/2022 04:00,67,S
3000007,9,02/01/2022 05:00,69,S
3000007,9,02/01/2022 06:00,65,S
3000007,9,02/01/2022 07:00,65,S
3000007,9,02/01/2022 08:00,67,S
3000007,9,02/01/2022 09:00,72,S
3000007,9,02/01/2022 10:00,73,S
3000007,9,02/01/2022 11:00,75,S
3000007,9,02/01/2022 12:00,68,S
3000007,9,02/01/2022 13:00,36,S
3000007,9,02/01/2022 14:00,38,S
3000007,9,02/01/2022 15:00,30,S
3000007,9,02/01/2022 16:00,20,S
3000007,9,02/01/2022 17:00,32,S
3000007,9,02/01/2022 18:00,27,S
3000007,9,02/01/2022 19:00,43,S
3000007,9,02/01/2022 20:00,42,S
3000007,9,02/01/2022 21:00,45,S
3000007,9,02/01/2022 22:00,44,S
3000007,9,02/01/2022 23:00,43,S
3000007,9,03/01/2022 00:00,58,S
3000007,9,03/01/2022 01:00,45,S
3000007,9,03/01/2022 02:00,44,S
3000007,9,03/01/2022 03:00,45,S
3000007,9,03/01/2022 04:00,44,S
3000007,9,03/01/2022 05:00,43,S
3000007,9,03/01/2022 06:00,38,S
3000007,9,03/01/2022 07:00,40,S
3000007,9,03/01/2022 08:00,42,S
3000007,9,03/01/2022 09:00,46,S
3000007,9,03/01/2022 10:00,37,S
3000007,9,03/01/2022 11:00,46,S
3000007,9,03/01/2022 12:00,63,S
3000007,9,03/01/2022 13:00,52,S
3000007,9,03/01/2022 14:00,43,S
3000007,9,03/01/2022 15:00,54,S
3000007,9,03/01/2022 16:00,58,S
3000007,9,03/01/2022 17:00,71,S
3000007,9,03/01/2022 18:00,79,S
3000007,9,03/01/2022 19:00,75,S
3000007,9,03/01/2022 20:00,53,S
3000007,9,03/01/2022 21:00,52,S
3000007,9,03/01/2022 22:00,58,S
3000007,9,03/01/2022 23:00,54,S
3000007,9,04/01/2022 00:00,52,S
3000007,9,04/01/2022 01:00,55,S
3000007,9,04/01/2022 02:00,56,S
3000007,9,04/01/2022 03:00,65,S
3000007,9,04/01/2022 04:00,58,S
3000007,9,04/01/2022 05:00,62,S
3000007,9,04/01/2022 06:00,63,S
3000007,9,04/01/2022 07:00,68,S
3000007,9,04/01/2022 08:00,82,S
3000007,9,04/01/2022 09:00,94,S
3000007,9,04/01/2022 10:00,93,S
3000007,9,04/01/2022 11:00,88,S
3000007,9,04/01/2022 12:00,82,S
3000007,9,04/01/2022 13:00,75,S
3000007,9,04/01/2022 14:00,65,S
3000007,9,04/01/2022 15:00,47,S
3000007,9,04/01/2022 16:00,38,S
3000007,9,04/01/2022 17:00,39,S
3000007,9,04/01/2022 18:00,43,S
3000007,9,04/01/2022 19:00,68,S
3000007,9,04/01/2022 20:00,63,S
3000007,9,04/01/2022 21:00,63,S
3000007,9,04/01/2022 22:00,58,S
3000007,9,04/01/2022 23:00,49,S
3000007,9,05/01/2022 00:00,44,S
3000007,9,05/01/2022 01:00,45,S
3000007,9,05/01/2022 02:00,41,S
3000007,9,05/01/2022 03:00,33,S
3000007,9,05/01/2022 04:00,31,S
3000007,9,05/01/2022 05:00,31,S
3000007,9,05/01/2022 06:00,31,S
3000007,9,05/01/2022 07:00,32,S
3000007,9,05/01/2022 08:00,40,S
3000007,9,05/01/2022 09:00,43,S
3000007,9,05/01/2022 10:00,49,S
3000007,9,05/01/2022 11:00,56,S
3000007,9,05/01/2022 12:00,54,S
3000007,9,05/01/2022 13:00,56,S
3000007,9,05/01/2022 14:00,54,S
3000007,9,05/01/2022 15:00,59,S
3000007,9,05/01/2022 16:00,67,S
3000007,9,05/01/2022 17:00,76,S
3000007,9,05/01/2022 18:00,86,S
3000007,9,05/01/2022 19:00,55,S
3000007,9,05/01/2022 20:00,28,S
3000007,9,05/01/2022 21:00,18,S
3000007,9,05/01/2022 22:00,14,S
3000007,9,05/01/2022 23:00,18,S
3000007,9,06/01/2022 00:00,14,S
3000007,9,06/01/2022 01:00,9,S
3000007,9,06/01/2022 02:00,5,S
3000007,9,06/01/2022 03:00,5,S
3000007,9,06/01/2022 04:00,7,S
3000007,9,06/01/2022 05:00,7,S
3000007,9,06/01/2022 06:00,7,S
3000007,9,06/01/2022 07:00,8,S
3000007,9,06/01/2022 08:00,10,S
3000007,9,06/01/2022 09:00,10,S
3000007,9,06/01/2022 10:00,14,S
3000007,9,06/01/2022 11:00,25,S
3000007,9,06/01/2022 12:00,28,S
3000007,9,06/01/2022 13:00,20,S
3000007,9,06/01/2022 14:00,10,S
3000007,9,06/01/2022 15:00,7,S
3000007,9,06/01/2022 16:00,7,S
3000007,9,06/01/2022 17:00,27,S
